,,,passed,passed,totals,totals
,,,unweighted,EventWeight,unweighted,EventWeight
dataset,depth,cut,,,,
data,0,All,16208.0,16208.0,469384.0,469384.0
data,1,NIsoMuon >= 2,16208.0,16208.0,469384.0,469384.0
data,1,triggerIsoMu24 == 1,469384.0,469384.0,469384.0,469384.0
dy,0,All,37559.0,16829.451171875,77729.0,34115.51171875
dy,1,NIsoMuon >= 2,37559.0,16829.451171875,77729.0,34115.51171875
dy,1,triggerIsoMu24 == 1,77729.0,34115.51171875,77729.0,34115.51171875
qcd,0,All,0.0,0.0,142.0,79160.5078125
qcd,1,NIsoMuon >= 2,0.0,0.0,142.0,79160.5078125
qcd,1,triggerIsoMu24 == 1,142.0,79160.5078125,142.0,79160.5078125
single_top,0,All,111.0,5.748311996459961,5684.0,311.62298583984375
single_top,1,NIsoMuon >= 2,111.0,5.748311996459961,5684.0,311.62298583984375
single_top,1,triggerIsoMu24 == 1,5684.0,311.62298583984375,5684.0,311.62298583984375
ttbar,0,All,206.0,47.29368591308594,36941.0,7929.4755859375
ttbar,1,NIsoMuon >= 2,226.0,51.6297492980957,36941.0,7929.4755859375
ttbar,1,triggerIsoMu24 == 1,4515.0,1001.804931640625,36941.0,7929.4755859375
wjets,0,All,1.0,0.3119172751903534,109737.0,209603.53125
wjets,1,NIsoMuon >= 2,1.0,0.3119172751903534,109737.0,209603.53125
wjets,1,triggerIsoMu24 == 1,109737.0,209603.53125,109737.0,209603.53125
ww,0,All,244.0,12.639495849609375,4580.0,229.94956970214844
ww,1,NIsoMuon >= 2,244.0,12.639495849609375,4580.0,229.94956970214844
ww,1,triggerIsoMu24 == 1,4580.0,229.94956970214844,4580.0,229.94956970214844
wz,0,All,623.0,13.157758712768555,3367.0,69.92791748046875
wz,1,NIsoMuon >= 2,623.0,13.157758712768555,3367.0,69.92791748046875
wz,1,triggerIsoMu24 == 1,3367.0,69.92791748046875,3367.0,69.92791748046875
zz,0,All,1235.0,8.998815536499023,2421.0,16.922521591186523
zz,1,NIsoMuon >= 2,1235.0,8.998815536499023,2421.0,16.922521591186523
zz,1,triggerIsoMu24 == 1,2421.0,16.922521591186523,2421.0,16.922521591186523
